COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_MF	p_M	N_MF	N_M
ADP-ribosylglycohydrolase (DraG) (PDB:1T5J)	0	1	1	NA	COG1397	GC_00002797, GC_00003736	1	1	1	1
Nicotinamide mononucleotide (NMN) deamidase PncC (PncC) (PDB:2A9S)	0	1	1	NA	COG1546	GC_00002181	1	1	1	1
Uncharacterized membrane protein, UPF0182 family	0	1	1	NA	COG1615	GC_00002750	1	1	1	1
ABC-type branched-chain amino acid transport system, periplasmic component (LivK) (PDB:1USG)	0	1	1	NA	COG0683	GC_00000704, GC_00002881	1	1	1	1
NAD-specific glutamate dehydrogenase (Gdh2)	0	1	1	NA	COG2902	GC_00000106	1	1	1	1
DNA-binding transcriptional regulator, GntR family (MngR) (PDB:2WV0)	0	1	1	NA	COG2188	GC_00000286, GC_00001051, GC_00001164, GC_00001459	1	1	1	1
Sulfate adenylyltransferase subunit 1, EFTu-like GTPase family (CysN) (PDB:1ZUN)	0	1	1	NA	COG2895	GC_00001307	1	1	1	1
Peptidyl-tRNA hydrolase (Pth) (PDB:1RYB) (PUBMED:11835511)	0	1	1	NA	COG0193	GC_00001000	1	1	1	1
Carbamoylphosphate synthase large subunit (CarB) (PDB:1C30)	0	1	1	NA	COG0458	GC_00003447	1	1	1	1
ABC-type polysaccharide/polyol phosphate transport system, ATPase component (TagH) (PDB:6JBH)	0	1	1	NA	COG1134	GC_00003259	1	1	1	1
Purine-cytosine permease or related protein (CodB)	0	1	1	NA	COG1457	GC_00000367, GC_00000418, GC_00001646, GC_00002335, GC_00002851, GC_00003407	1	1	1	1
3-oxoacyl-[acyl-carrier-protein] synthase III (FabH) (PDB:1UB7)	0	1	1	NA	COG0332	GC_00000235, GC_00000718	1	1	1	1
S-formylglutathione hydrolase FrmB (FrmB) (PDB:1DQY)	0	1	1	NA	COG0627	GC_00001067	1	1	1	1
Fe-S cluster assembly ATPase SufC (SufC) (PDB:2D3W)	0	1	1	NA	COG0396	GC_00001049	1	1	1	1
Predicted oxidoreductase	0	1	1	NA	COG3573	GC_00002595	1	1	1	1
Peptidoglycan/xylan/chitin deacetylase, PgdA/NodB/CDA1 family (CDA1) (PDB:1NY1)	0	1	1	NA	COG0726	GC_00000002, GC_00000686, GC_00001337, GC_00001497, GC_00002450, GC_00002959, GC_00003414, GC_00003530, GC_00004049	1	1	1	1
Histidine ammonia-lyase (HutH) (PDB:1B8F)	0	1	1	NA	COG2986	GC_00002802	1	1	1	1
ABC-type branched-chain amino acid transport system, ATPase component LivG (LivG) (PDB:1G9X) (PUBMED:29514851)	0	1	1	NA	COG0411	GC_00002908	1	1	1	1
ATP-, maltotriose- and DNA-dependent transcriptional regulator MalT (MalT)!!!Predicted ATPase	0	1	1	NA	COG2909!!!COG3899	GC_00003479	1	1	1	1
Lipoate-protein ligase A (LplA) (PDB:4TVW)	0	1	1	NA	COG0095	GC_00000699, GC_00001815	1	1	1	1
Cysteinyl-tRNA synthetase (CysS) (PDB:1LI5)	0	1	1	NA	COG0215	GC_00001606, GC_00002467	1	1	1	1
Asp-tRNAAsn/Glu-tRNAGln amidotransferase C subunit (GatC) (PDB:3H0L)	0	1	1	NA	COG0721	GC_00000628	1	1	1	1
Fe-S cluster assembly scaffold protein IscU, NifU family (IscU) (PDB:1Q48)	0	1	1	NA	COG0822	GC_00001851	1	1	1	1
Peroxiredoxin (Bcp) (PDB:5IPH)!!!Cytochrome oxidase Cu insertion factor, SCO1/SenC/PrrC family (Sco1) (PDB:1ON4)	0	1	1	NA	COG1225!!!COG1999	GC_00002064	1	1	1	1
Dienelactone hydrolase (DLH) (PDB:4ZV9)	0	1	1	NA	COG0412	GC_00001978, GC_00002571, GC_00003209, GC_00003673	1	1	1	1
Uncharacterized conserved protein, DUF917 family (PDB:2O3I)	0	1	1	NA	COG3535	GC_00000317, GC_00002435, GC_00002897	1	1	1	1
Hydroxypyruvate/dehydroerythronate isomerase, Hyi/OtnI family (Hyi) (PDB:1K77) (PUBMED:27402745)	0	1	1	NA	COG3622	GC_00000378, GC_00000657	1	1	1	1
Phosphoribosylaminoimidazole (AIR) synthetase (PurM) (PDB:1CLI)	0	1	1	NA	COG0150	GC_00003412	1	1	1	1
UDP-N-acetylglucosamine enolpyruvyl transferase (MurA) (PDB:1A2N)	0	1	1	NA	COG0766	GC_00001264	1	1	1	1
Peptidase E (PepE) (PDB:1FY2)	0	1	1	NA	COG3340	GC_00001763	1	1	1	1
Phosphoribosylanthranilate isomerase (TrpF) (PDB:1DL3)	0	1	1	NA	COG0135	GC_00002089	1	1	1	1
UDP-N-acetylmuramyl tripeptide synthase (MurE) (PDB:1E8C)	0	1	1	NA	COG0769	GC_00001958, GC_00002498	1	1	1	1
O-Methyltransferase involved in polyketide biosynthesis (YktD) (PDB:1RJD)	0	1	1	NA	COG3315	GC_00003187	1	1	1	1
Superfamily I DNA and/or RNA helicase (DNA2) (PDB:2GJK)!!!Predicted nuclease, RecB family	0	1	1	NA	COG1112!!!COG2251	GC_00002178	1	1	1	1
Ribosomal protein S18 acetylase RimI and related acetyltransferases (RimI) (PDB:1GHE)	0	1	1	NA	COG0456	GC_00000261, GC_00000316, GC_00001203, GC_00001448, GC_00001535, GC_00001976, GC_00003054, GC_00003105, GC_00003332, GC_00003488	1	1	1	1
Shikimate 5-dehydrogenase (AroE) (PDB:1NPD)	0	1	1	NA	COG0169	GC_00000580, GC_00001719, GC_00002526, GC_00003610, GC_00003869	1	1	1	1
Protein chain release factor RF1 (PrfA) (PDB:1RQ0)	0	1	1	NA	COG0216	GC_00000369	1	1	1	1
Multidrug efflux pump subunit AcrA (membrane-fusion protein) (AcrA) (PDB:1T5E)	0	1	1	NA	COG0845	GC_00001275	1	1	1	1
DNA-binding transcriptional regulator, LacI/PurR family (PurR) (PDB:1BDH)	0	1	1	NA	COG1609	GC_00000057, GC_00000068, GC_00000275, GC_00000414, GC_00000481, GC_00000571, GC_00000696, GC_00000818, GC_00001162, GC_00001196, GC_00001241, GC_00001564, GC_00001769, GC_00001876, GC_00002018, GC_00002110, GC_00002261, GC_00002361, GC_00002566, GC_00002610, GC_00002655, GC_00002794, GC_00002976, GC_00002994, GC_00003335, GC_00003518, GC_00003562, GC_00003647, GC_00003656, GC_00003696, GC_00003843	1	1	1	1
Uncharacterized conserved protein YfaS, alpha-2-macroglobulin family (YfaS) (PDB:2A73)	0	1	1	NA	COG2373	GC_00002248	1	1	1	1
O-acetylhomoserine/O-acetylserine sulfhydrylase, pyridoxal phosphate-dependent (MET17) (PDB:2CTZ)	0	1	1	NA	COG2873	GC_00003294	1	1	1	1
DNA repair exonuclease SbcCD nuclease subunit (SbcD) (PDB:6S85)	0	1	1	NA	COG0420	GC_00002183	1	1	1	1
ABC-type amino acid transport system, permease component (HisM) (PDB:4YMS)	0	1	1	NA	COG0765	GC_00000093, GC_00000779, GC_00001504, GC_00002208, GC_00003692	1	1	1	1
Uncharacterized membrane protein (PDB:5VRE)	0	1	1	NA	COG3548	GC_00000909	1	1	1	1
Fe2+ or Zn2+ uptake regulation protein Fur/Zur (Fur) (PDB:1MZB)	0	1	1	NA	COG0735	GC_00001236, GC_00003759	1	1	1	1
Ureidoglycine aminohydrolase (AllE) (PDB:1RC6) (PUBMED:19935661)	0	1	1	NA	COG3257	GC_00000676	1	1	1	1
FoF1-type ATP synthase, delta subunit (AtpH) (PDB:1ABV)	0	1	1	NA	COG0712	GC_00001009	1	1	1	1
Twin-arginine protein secretion pathway components TatA and TatB (TatA) (PDB:2L16)	0	1	1	NA	COG1826	GC_00000071, GC_00000269	1	1	1	1
16S rRNA C1402 N4-methylase RsmH (RmsH) (PDB:1M6Y)	0	1	1	NA	COG0275	GC_00001134	1	1	1	1
DNA polymerase III, epsilon subunit or related 3'-5' exonuclease (DnaQ) (PDB:1J53)	0	1	1	NA	COG0847	GC_00001930	1	1	1	1
Succinate dehydrogenase/fumarate reductase, flavoprotein subunit (SdhA) (PDB:1KF6)	0	1	1	NA	COG1053	GC_00000267	1	1	1	1
Ribosomal 50S subunit-recycling heat shock protein, contains S4 domain (HslR) (PDB:3BBU)	0	1	1	NA	COG1188	GC_00001588	1	1	1	1
GyrI-like small molecule binding domain (BltR2) (PDB:1BOW)	0	1	1	NA	COG4978	GC_00001068	1	1	1	1
Multidrug transporter EmrE and related cation transporters (EmrE) (PDB:2I68)	0	1	1	NA	COG2076	GC_00000088	1	1	1	1
Urease accessory protein UreF (UreF) (PDB:3SF5)	0	1	1	NA	COG0830	GC_00000669	1	1	1	1
FAD synthase (RibF) (PDB:1MRZ)	0	1	1	NA	COG0196	GC_00002826	1	1	1	1
Peptide deformylase (Def) (PDB:1BS4)	0	1	1	NA	COG0242	GC_00000450, GC_00001109, GC_00001963	1	1	1	1
Cell division protein FtsI, peptidoglycan transpeptidase (Penicillin-binding protein 2) (FtsI) (PDB:6HZQ)	0	1	1	NA	COG0768	GC_00001456, GC_00001908, GC_00001973	1	1	1	1
L-2-hydroxyglutarate oxidase LhgO (LhgO) (PDB:3DME)	0	1	1	NA	COG0579	GC_00003438	1	1	1	1
Ligand-binding SRPBCC domain (SRPBCC)	0	1	1	NA	COG4276	GC_00003179	1	1	1	1
Translation elongation factor EF-Ts (Tsf) (PDB:1EFU)	0	1	1	NA	COG0264	GC_00000319	1	1	1	1
Arginyl-tRNA synthetase (ArgS) (PDB:1BS2)	0	1	1	NA	COG0018	GC_00001148	1	1	1	1
Two-component response regulator, AmiR/NasT family, consists of REC and RNA-binding antiterminator (ANTAR) domains (AmiR) (PDB:1QO0) (PUBMED:16936038)	0	1	1	NA	COG3707	GC_00000962, GC_00000999, GC_00001345, GC_00001813, GC_00001894, GC_00003263, GC_00003681	1	1	1	1
RNA polymerase-interacting regulator, CarD/CdnL/TRCF family (CdnL) (PDB:4ILU)	0	1	1	NA	COG1329	GC_00001244	1	1	1	1
Methylase of polypeptide chain release factors (HemK) (PDB:1NV8)	0	1	1	NA	COG2890	GC_00001718, GC_00001982, GC_00002115	1	1	1	1
Periplasmic component TolB of the Tol biopolymer transport system (TolB) (PDB:1C5K)	0	1	1	NA	COG0823	GC_00000446	1	1	1	1
Enoyl-CoA hydratase/carnithine racemase (CaiD) (PDB:1DCI)	0	1	1	NA	COG1024	GC_00000541, GC_00000872, GC_00001549, GC_00001778, GC_00002692, GC_00003542	1	1	1	1
Thiazole synthase ThiGH, ThiG subunit (thiamin biosynthesis) (ThiG) (PDB:1TYG)	0	1	1	NA	COG2022	GC_00003161	1	1	1	1
Lyzozyme M1 (1,4-beta-N-acetylmuramidase), GH25 family (Acm) (PDB:1H09)	0	1	1	NA	COG3757	GC_00003020	1	1	1	1
Iron-binding protein Fra/YdhG, frataxin family (Fe-S cluster biosynthesis) (Fra) (PDB:2OC6)	0	1	1	NA	COG5646	GC_00000667	1	1	1	1
DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains (CitB) (PDB:1A04)	0	1	1	NA	COG2197	GC_00000054, GC_00000449, GC_00000714, GC_00000928, GC_00001154, GC_00001995, GC_00002210, GC_00002250, GC_00002808, GC_00002846, GC_00003173	1	1	1	1
Formyltetrahydrofolate synthetase (MIS1) (PDB:1EG7)	0	1	1	NA	COG2759	GC_00002205	1	1	1	1
Soluble lytic murein transglycosylase or regulatory protein s ( may contain LysM/invasin domain) (MltE) (PDB:153L)!!!LysM repeat (LysM) (PDB:1E0G)	0	1	1	NA	COG0741!!!COG1388	GC_00002911	1	1	1	1
Uncharacterized conserved protein YabE, contains G5 and tandem DUF348 domains (YabE) (PDB:5E27)	0	1	1	NA	COG3583	GC_00001517	1	1	1	1
Dethiobiotin synthetase (BioD) (PDB:1DTS)	0	1	1	NA	COG0132	GC_00002778	1	1	1	1
Arginine repressor (ArgR) (PDB:1AOY)	0	1	1	NA	COG1438	GC_00001254	1	1	1	1
Sugar phosphate isomerase/epimerase (YcjR) (PDB:3KTC) (PUBMED:30742415)	0	1	1	NA	COG1082	GC_00000015, GC_00000064, GC_00000869, GC_00000996, GC_00001079, GC_00001100, GC_00001366, GC_00001472, GC_00001571, GC_00001653, GC_00001852, GC_00002098, GC_00002141, GC_00002345, GC_00002651, GC_00003136, GC_00003258, GC_00003999	1	1	1	1
MFS family permease, includes anhydromuropeptide permease AmpG (ProP) (PUBMED:12426329)	0	1	1	NA	COG0477	GC_00001389, GC_00001482, GC_00001731, GC_00001773, GC_00003219	1	1	1	1
Uricase (urate oxidase) (UriC)	0	1	1	NA	COG3648	GC_00001533	1	1	1	1
ABC-type glycerol-3-phosphate transport system, permease component (UgpE) (PDB:1VR4)	0	1	1	NA	COG0395	GC_00000083, GC_00000249, GC_00000546, GC_00001223, GC_00001660, GC_00002078, GC_00002099, GC_00002347, GC_00002409, GC_00002445, GC_00003032, GC_00003340	1	1	1	1
Uncharacterized conserved protein, DUF2087 family	0	1	1	NA	COG3860	GC_00000900	1	1	1	1
Flavorubredoxin (NorV) (PDB:4JHC)	0	1	1	NA	COG0426	GC_00000289, GC_00001078, GC_00003525, GC_00003532	1	1	1	1
DNA polymerase III, delta subunit (HolA) (PDB:3ZH9)	0	1	1	NA	COG1466	GC_00000279	1	1	1	1
Alkylhydroperoxidase family enzyme, contains CxxC motif (YciW) (PDB:1GU9)	0	1	1	NA	COG2128	GC_00002220	1	1	1	1
UDP-N-acetylmuramoylalanine-D-glutamate ligase (MurD) (PDB:1E0D)	0	1	1	NA	COG0771	GC_00003569	1	1	1	1
Mg2+ and Co2+ transporter CorA (CorA) (PDB:2BBH)	0	1	1	NA	COG0598	GC_00001949, GC_00002986	1	1	1	1
Superfamily II DNA helicase RecQ (RecQ) (PDB:1OYW)	0	1	1	NA	COG0514	GC_00002547	1	1	1	1
Uncharacterized membrane protein YgcG, contains a TPM-fold domain (YgcG) (PDB:2KW7)	0	1	1	NA	COG1512	GC_00003271	1	1	1	1
Glutamyl- or glutaminyl-tRNA synthetase (GlnS) (PDB:1EUQ)	0	1	1	NA	COG0008	GC_00001019, GC_00001988	1	1	1	1
Membrane-associated phospholipid phosphatase (PgpB) (PDB:1D2T)!!!Sortase (surface protein transpeptidase) (SrtA) (PDB:1IJA)	0	1	1	NA	COG0671!!!COG3764	GC_00003181	1	1	1	1
Flp pilus assembly protein TadB (TadB)	0	1	1	NA	COG4965	GC_00002053, GC_00002199, GC_00002390, GC_00002581, GC_00002743, GC_00003358	1	1	1	1
Copper oxidase (laccase) domain (YfiH) (PDB:1RV9)	0	1	1	NA	COG1496	GC_00002910	1	1	1	1
Fe-S cluster assembly iron-binding protein IscA (IscA) (PDB:1R94)	0	1	1	NA	COG0316	GC_00000327	1	1	1	1
NH3-dependent NAD+ synthetase (NadE) (PDB:3HMQ)	0	1	1	NA	COG0171	GC_00003498	1	1	1	1
ABC-type sugar transport system, periplasmic component, contains N-terminal xre family HTH domain (RbsB) (PDB:1BA2)	0	1	1	NA	COG1879	GC_00000049, GC_00001555, GC_00001726, GC_00002855, GC_00003504, GC_00003620, GC_00003742	1	1	1	1
Adenylate kinase or related kinase (Adk) (PDB:1AK2)	0	1	1	NA	COG0563	GC_00000056	1	1	1	1
Uncharacterized conserved protein, DUF885 family (PDB:3IUK)	0	1	1	NA	COG4805	GC_00000192	1	1	1	1
DNA gyrase/topoisomerase IV, subunit B (GyrB) (PDB:1EI1)	0	1	1	NA	COG0187	GC_00000806, GC_00001643	1	1	1	1
Uncharacterized conserved protein, DUF1430 domain	0	1	1	NA	COG4652	GC_00001562, GC_00002468	1	1	1	1
Redox-sensitive bicupin YhaK, pirin superfamily (YhaK) (PDB:1J1L) (PUBMED:18561187)	0	1	1	NA	COG1741	GC_00000916	1	1	1	1
Preprotein translocase subunit SecE (SecE) (PDB:5MG3) (PUBMED:29684280)	0	1	1	NA	COG0690	GC_00001667	1	1	1	1
Aspartate-semialdehyde dehydrogenase (Asd) (PDB:1BRM)	0	1	1	NA	COG0136	GC_00002012	1	1	1	1
1-deoxy-D-xylulose 5-phosphate reductoisomerase (Dxr) (PDB:1JVS)	0	1	1	NA	COG0743	GC_00001308	1	1	1	1
DNA-binding transcriptional regulator YhcF, GntR family (YhcF) (PDB:4R1H)	0	1	1	NA	COG1725	GC_00000447, GC_00001531, GC_00004093	1	1	1	1
Phosphopantothenoylcysteine synthetase/decarboxylase CoaBC (CoaBC) (PDB:3QJG)	0	1	1	NA	COG0452	GC_00001768	1	1	1	1
L-alanine-DL-glutamate epimerase or related enzyme of enolase superfamily (RspA) (PDB:1BKH)	0	1	1	NA	COG4948	GC_00000097, GC_00001886	1	1	1	1
Serine transporter YbeC, amino acid:H+ symporter family (PotE) (PDB:3LRB)	0	1	1	NA	COG0531	GC_00000065, GC_00000105, GC_00000343, GC_00000646, GC_00000858, GC_00001130, GC_00001358, GC_00001621, GC_00002108, GC_00002618, GC_00002771, GC_00003272	1	1	1	1
Deoxyxylulose-5-phosphate synthase (Dxs) (PDB:2O1S)	0	1	1	NA	COG1154	GC_00001644	1	1	1	1
ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component (DppF)	0	1	1	NA	COG1124	GC_00002029	1	1	1	1
Ribonucleotide reductase alpha subunit (NrdA) (PDB:1R1R)	0	1	1	NA	COG0209	GC_00001791	1	1	1	1
Cytochrome bd-type quinol oxidase, subunit 1 (AppC) (PDB:5DOQ)	0	1	1	NA	COG1271	GC_00001837	1	1	1	1
Transposase	0	1	1	NA	COG3547	GC_00000168, GC_00002623, GC_00003125, GC_00003648, GC_00003712, GC_00003882, GC_00003957	1	1	1	1
Threonyl-tRNA synthetase (ThrS) (PDB:1NYQ)	0	1	1	NA	COG0441	GC_00002597	1	1	1	1
Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase) (PurK) (PDB:1B6R)	0	1	1	NA	COG0026	GC_00001557	1	1	1	1
5'-3' exonuclease Xni/ExoIX (flap endonuclease) (ExoIX) (PDB:3ZDA) (PUBMED:19000038;23821668)	0	1	1	NA	COG0258	GC_00002506	1	1	1	1
Uncharacterized membrane protein	0	1	1	NA	COG4420	GC_00000727, GC_00001016, GC_00001394, GC_00001838, GC_00001859, GC_00001912, GC_00001950, GC_00002194, GC_00002240, GC_00002707, GC_00002971, GC_00003386	1	1	1	1
Xaa-Pro aminopeptidase (PepP) (PDB:1A16)	0	1	1	NA	COG0006	GC_00002843, GC_00003295	1	1	1	1
ABC-type sugar transport system, ATPase component (MglA)	0	1	1	NA	COG1129	GC_00000025, GC_00000670, GC_00001044, GC_00001624, GC_00002462, GC_00003439, GC_00003809, GC_00004065	1	1	1	1
Membrane protease YdiL, CAAX protease family (YdiL)	0	1	1	NA	COG1266	GC_00001733, GC_00003413	1	1	1	1
Predicted  nucleic acid-binding protein, contains Zn-ribbon domain (includes truncated derivatives)	0	1	1	NA	COG5512	GC_00001788	1	1	1	1
DNA topoisomerase IA (TopA) (PDB:1CY0)!!!Uncharacterized C-terminal domain of topoisomerase IA	0	1	1	NA	COG0550!!!COG1754	GC_00003485	1	1	1	1
Dipeptide/tripeptide permease (PTR2) (PDB:2XUT)	0	1	1	NA	COG3104	GC_00002790	1	1	1	1
ABC-type glycerol-3-phosphate transport system, periplasmic component (UgpB) (PDB:2Z8D)	0	1	1	NA	COG1653	GC_00000090, GC_00000750, GC_00000917, GC_00001017, GC_00001559, GC_00001972, GC_00002124, GC_00002820, GC_00002917, GC_00003246, GC_00003264, GC_00003445	1	1	1	1
Biotin synthase or related enzyme (BioB) (PDB:1R30)	0	1	1	NA	COG0502	GC_00000181	1	1	1	1
Archaeal 2-phospho-L-lactate transferase/Bacterial gluconeogenesis factor, CofD/UPF0052 family (CofD) (PDB:1ZX8) (PUBMED:11888293;18252724)	0	1	1	NA	COG0391	GC_00001737	1	1	1	1
Urease gamma subunit (UreA) (PDB:1A5K)	0	1	1	NA	COG0831	GC_00000617	1	1	1	1
Membrane protein implicated in regulation of membrane protease activity (YbbJ) (PDB:2EXD)	0	1	1	NA	COG1585	GC_00000477	1	1	1	1
Zn-dependent dipeptidase, microsomal dipeptidase homolog (PDB:1ITQ) (PUBMED:14499931)	0	1	1	NA	COG2355	GC_00003465, GC_00003962	1	1	1	1
Gamma-glutamyl:cysteine ligase YbdK, ATP-grasp superfamily (YbdK) (PDB:1R8G) (PUBMED:15211520)	0	1	1	NA	COG2170	GC_00000337, GC_00002675, GC_00003030	1	1	1	1
Predicted alpha-1,6-mannanase, GH76 family (PDB:3K7X)	0	1	1	NA	COG4833	GC_00001287	1	1	1	1
L-ascorbate lactonase UlaG, metallo-beta-lactamase superfamily (UlaG) (PDB:2WYM)	0	1	1	NA	COG2220	GC_00000294	1	1	1	1
Exonuclease III (XthA) (PDB:1AKO)	0	1	1	NA	COG0708	GC_00001076, GC_00001129	1	1	1	1
Lipid II:glycine glycyltransferase (Peptidoglycan interpeptide bridge formation enzyme) (FmhB) (PDB:1LRZ)	0	1	1	NA	COG2348	GC_00000272, GC_00002488	1	1	1	1
Divalent metal cation (Fe/Co/Zn/Cd) efflux pump (FieF) (PDB:2QFI)	0	1	1	NA	COG0053	GC_00001234, GC_00001352, GC_00002067, GC_00002876, GC_00003702	1	1	1	1
Folylpolyglutamate synthase/Dihydropteroate synthase (FolC) (PDB:1W78)	0	1	1	NA	COG0285	GC_00003356	1	1	1	1
Trehalose-6-phosphate phosphatase (OtsB) (PDB:1U02)	0	1	1	NA	COG1877	GC_00000206	1	1	1	1
Predicted amino acid racemase (YhfX) (PDB:4KBX) (PUBMED:23091052)	0	1	1	NA	COG3457	GC_00001172	1	1	1	1
Membrane-associated protease RseP, regulator of RpoE activity (RseP)	0	1	1	NA	COG0750	GC_00000630	1	1	1	1
NAD(P)H-nitrite reductase, large subunit (NirB)	0	1	1	NA	COG1251	GC_00001880, GC_00002540, GC_00002679, GC_00002698, GC_00002818, GC_00003028	1	1	1	1
ABC-type Fe3+-hydroxamate transport system, periplasmic component (FepB) (PDB:1ESZ)	0	1	1	NA	COG0614	GC_00002857	1	1	1	1
Translation elongation factor EF-4, membrane-bound GTPase (LepA) (PDB:3DEG)	0	1	1	NA	COG0481	GC_00000406	1	1	1	1
Thymidine kinase (Tdk) (PDB:1W4R)	0	1	1	NA	COG1435	GC_00001909	1	1	1	1
1-phosphofructokinase or 6-phosphofructokinase II (FruK) (PDB:2ABQ)	0	1	1	NA	COG1105	GC_00000731, GC_00002170, GC_00002628, GC_00004054	1	1	1	1
Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid) (WcaJ) (PDB:5W7L)	0	1	1	NA	COG2148	GC_00003157	1	1	1	1
Uncharacterized conserved protein related to plant photosystem II stability/assembly factor (PDB:2XBG)	0	1	1	NA	COG4447	GC_00000958	1	1	1	1
5'-3' exonuclease Xni/ExoIX (flap endonuclease) (ExoIX) (PDB:3ZDA) (PUBMED:19000038;23821668)!!!DNA polymerase I, 3'-5' exonuclease and polymerase domains (PolA) (PDB:1D8Y)	0	1	1	NA	COG0258!!!COG0749	GC_00002534	1	1	1	1
Uncharacterized membrane protein YjjP, DUF1212 family (YjjP)!!!Uncharacterized membrane protein YjjB, DUF3815 family (YjjB)	0	1	1	NA	COG2966!!!COG3610	GC_00002081	1	1	1	1
NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate epimerase domain (Nnr1) (PDB:3RRB)!!!NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase domain (Nnr2) (PDB:1KYH)	0	1	1	NA	COG0062!!!COG0063	GC_00001819	1	1	1	1
Signal transduction histidine kinase (BaeS) (PDB:1JOY)!!!PAS domain (PAS) (PDB:2MWG)!!!Two-component response regulator, PleD family, consists of two REC domains and a diguanylate cyclase (GGDEF) domain (PleD) (PDB:1W25)	0	1	1	NA	COG0642!!!COG2202!!!COG3706	GC_00002714	1	1	1	1
Glycine cleavage system protein H (lipoate-binding) (GcvH) (PDB:1DXM)	0	1	1	NA	COG0509	GC_00000354, GC_00000545	1	1	1	1
Glucose-6-phosphate isomerase (Pgi) (PDB:1B0Z)	0	1	1	NA	COG0166	GC_00001023	1	1	1	1
Cytochrome b subunit of the bc complex (QcrB/PetB) (PDB:1VF5)	0	1	1	NA	COG1290	GC_00000813, GC_00001300, GC_00001393	1	1	1	1
Fatty acid-binding protein DegV (function unknown) (DegV) (PDB:1MGP)	0	1	1	NA	COG1307	GC_00001796	1	1	1	1
GTP 3',8-cyclase (molybdenum cofactor biosynthesis protein MoaA) (MoaA) (PDB:1TV7)	0	1	1	NA	COG2896	GC_00001857, GC_00002646	1	1	1	1
Flagellin and related hook-associated protein FlgL (FlgL) (PDB:1IO1)	0	1	1	NA	COG1344	GC_00001488, GC_00001613	1	1	1	1
Uncharacterized conserved protein, DUF302 family (PDB:1J3M)	0	1	1	NA	COG3439	GC_00002154	1	1	1	1
Uncharacterized membrane protein YcgQ,  UPF0703/DUF1980 family (YcgQ)	0	1	1	NA	COG3689	GC_00001829	1	1	1	1
Ribosomal protein L13 (RplM) (PDB:1VS6)	0	1	1	NA	COG0102	GC_00001404	1	1	1	1
Acyl transferase domain in polyketide synthase (PKS) enzymes (PksD) (PDB:6IYO)	0	1	1	NA	COG3321	GC_00002386	1	1	1	1
Arginine exporter protein ArgO (ArgO)	0	1	1	NA	COG1279	GC_00002555	1	1	1	1
Galactokinase (GalK) (PDB:1PIE)	0	1	1	NA	COG0153	GC_00000986	1	1	1	1
5-oxoprolinase subunit A (PxpA) (PDB:1V6T) (PUBMED:28830929)	0	1	1	NA	COG1540	GC_00000953, GC_00001560, GC_00003265	1	1	1	1
Cell division protein FtsX (FtsX)	0	1	1	NA	COG2177	GC_00001424	1	1	1	1
Uncharacterized conserved protein containing a Zn-ribbon-like motif, possibly RNA-binding (PDB:3H0N)	0	1	1	NA	COG5516	GC_00001986	1	1	1	1
Peptidoglycan-binding (PGRP) domain of peptidoglycan hydrolases (PGRP) (PDB:4FET)	0	1	1	NA	COG3409	GC_00001686	1	1	1	1
Flagellar capping protein FliD (FliD) (PDB:5FHY)	0	1	1	NA	COG1345	GC_00001677	1	1	1	1
ABC-type enterobactin transport system, permease component (FepG)	0	1	1	NA	COG4779	GC_00002599	1	1	1	1
5-methylcytosine-specific restriction endonuclease McrA (McrA)	0	1	1	NA	COG1403	GC_00000009, GC_00000032, GC_00000108, GC_00001652, GC_00003410	1	1	1	1
Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A) (Efp) (PDB:1UEB)	0	1	1	NA	COG0231	GC_00000982	1	1	1	1
Threonine deaminase (IlvA) (PDB:3IAU)	0	1	1	NA	COG1171	GC_00000741, GC_00002973	1	1	1	1
Predicted PurR-regulated permease PerM (PerM)	0	1	1	NA	COG0628	GC_00000883, GC_00002324, GC_00003423	1	1	1	1
Uncharacterized Zn-ribbon-containing protein (PhnA) (PDB:2AKK)	0	1	1	NA	COG2824	GC_00002485	1	1	1	1
3-hydroxyacyl-CoA dehydrogenase (FadB) (PDB:5ZQZ)	0	1	1	NA	COG1250	GC_00001709, GC_00004078	1	1	1	1
Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain (PurL1) (PDB:3VIU)	0	1	1	NA	COG0046	GC_00002899	1	1	1	1
Succinate dehydrogenase/fumarate reductase, cytochrome b subunit (SdhC) (PDB:2WU2) (PUBMED:18511537)	0	1	1	NA	COG2009	GC_00000721	1	1	1	1
5-chloro-2-hydroxyhydroquinone dehydrochlorinase TtfG, YCII superfamily (YCII) (PDB:1S7I) (PUBMED:23955343)	0	1	1	NA	COG3795	GC_00001248, GC_00001720, GC_00002106, GC_00002997, GC_00003011	1	1	1	1
Uncharacterized conserved protein, DUF2076 domain	0	1	1	NA	COG3416	GC_00003531	1	1	1	1
